config,timestep,mean_reward,std_reward,n_seeds
A,10000,-444.944000,357.807971,5
A,20000,-183.410000,145.735415,5
A,30000,-206.000000,179.189769,5
A,40000,-91.428000,64.427983,5
A,50000,-142.144000,69.144538,5
A,60000,-109.760000,35.632473,5
A,70000,-140.356000,82.546616,5
A,80000,-74.762000,30.543809,5
A,90000,-90.824000,58.249178,5
A,100000,-96.048000,38.761262,5
A,110000,-98.446000,26.484842,5
A,120000,-87.570000,77.236817,5
A,130000,-93.576000,43.733688,5
A,140000,-97.950000,55.701842,5
A,150000,-82.078000,43.980673,5
A,160000,-86.048000,32.474169,5
A,170000,-77.738000,38.287363,5
A,180000,-92.802000,29.070884,5
A,190000,-65.632000,10.827438,5
A,200000,-87.784000,31.205550,5
B,10000,-168.250000,83.060726,5
B,20000,-69.716000,28.508080,5
B,30000,-92.900000,60.900486,5
B,40000,-24.572000,51.451320,5
B,50000,-98.784000,74.120114,5
B,60000,-78.752000,29.655881,5
B,70000,-113.666000,61.502338,5
B,80000,-31.056000,23.892153,5
B,90000,-41.202000,55.448078,5
B,100000,-92.424000,43.803759,5
B,110000,-71.246000,22.995793,5
B,120000,-57.554000,86.752059,5
B,130000,-73.560000,49.275848,5
B,140000,-85.164000,65.536370,5
B,150000,-80.796000,59.033104,5
B,160000,-74.692000,37.569853,5
B,170000,-70.546000,33.257842,5
B,180000,-67.144000,30.491019,5
B,190000,-73.636000,21.778986,5
B,200000,-66.518000,46.737340,5
C,10000,-251.952000,93.798611,5
C,20000,-188.290000,57.099340,5
C,30000,-167.696000,78.500515,5
C,40000,-111.066000,67.423096,5
C,50000,-142.970000,44.836778,5
C,60000,-157.616000,29.099769,5
C,70000,-179.310000,65.095030,5
C,80000,-95.808000,39.957984,5
C,90000,-99.626000,47.533800,5
C,100000,-128.856000,37.147902,5
C,110000,-106.316000,23.842404,5
C,120000,-96.174000,66.727830,5
C,130000,-114.734000,43.047249,5
C,140000,-151.376000,71.409931,5
C,150000,-108.732000,36.379514,5
C,160000,-131.780000,34.937462,5
C,170000,-103.820000,34.344971,5
C,180000,-123.480000,26.235306,5
C,190000,-95.338000,23.978698,5
C,200000,-103.156000,40.763937,5
