episode_index,env_seed,selection,outcome,reward,steps,termination_reason,total_served,total_arrivals,service_rate,no_service_ratio,dominant_action,served_queue_0,final_queue_0,max_wait_queue_0,served_queue_1,final_queue_1,max_wait_queue_1,served_queue_2,final_queue_2,max_wait_queue_2
0,10000,Não selecionado,Sucesso,32.900000000000006,100,Horizonte máximo,73,76,0.9605263157894737,0.27,Atender maior prioridade (95%),17,1,22.0,40,2,11.0,16,0,2.0
1,10001,Não selecionado,Sucesso,23.099999999999998,100,Horizonte máximo,97,100,0.97,0.03,Atender maior prioridade (91%),29,2,21.0,51,0,17.0,17,1,4.0
2,10002,Não selecionado,Sucesso,49.39999999999999,100,Horizonte máximo,83,89,0.9325842696629213,0.17,Atender maior prioridade (97%),29,4,22.0,43,1,8.0,11,1,2.0
3,10003,Não selecionado,Falha,-253.29999999999998,100,Horizonte máximo,98,117,0.8376068376068376,0.02,Atender maior prioridade (79%),21,17,40.0,50,2,53.0,27,0,19.0
4,10004,Não selecionado,Sucesso,39.800000000000004,100,Horizonte máximo,82,82,1.0,0.18,Atender maior prioridade (96%),28,0,22.0,40,0,9.0,14,0,2.0
5,10005,Não selecionado,Falha,-42.60000000000001,100,Horizonte máximo,90,102,0.8823529411764706,0.1,Atender maior prioridade (93%),17,12,33.0,49,0,35.0,24,0,11.0
6,10006,Não selecionado,Sucesso,6.699999999999989,100,Horizonte máximo,96,104,0.9230769230769231,0.04,Atender maior prioridade (93%),20,6,34.0,57,2,18.0,19,0,2.0
7,10007,Não selecionado,Falha,-42.80000000000001,100,Horizonte máximo,91,95,0.9578947368421052,0.09,Atender maior prioridade (84%),34,2,30.0,39,0,28.0,18,2,13.0
8,10008,Não selecionado,Sucesso,27.999999999999982,100,Horizonte máximo,73,73,1.0,0.27,Atender maior prioridade (98%),23,0,24.0,26,0,18.0,24,0,4.0
9,10009,Não selecionado,Falha,-54.400000000000006,100,Horizonte máximo,93,103,0.9029126213592233,0.07,Atender maior prioridade (83%),25,3,33.0,54,5,34.0,14,2,9.0
10,10010,Não selecionado,Falha,-268.29999999999995,100,Horizonte máximo,97,105,0.9238095238095239,0.03,Atender maior prioridade (79%),24,8,49.0,49,0,48.0,24,0,20.0
11,10011,Não selecionado,Sucesso,0.09999999999999609,100,Horizonte máximo,92,97,0.9484536082474226,0.08,Atender maior prioridade (91%),28,4,20.0,49,0,23.0,15,1,11.0
12,10012,Não selecionado,Sucesso,14.200000000000012,100,Horizonte máximo,92,108,0.8518518518518519,0.08,Atender maior prioridade (99%),23,10,35.0,43,6,13.0,26,0,8.0
13,10013,Não selecionado,Falha,-142.70000000000002,100,Horizonte máximo,94,103,0.912621359223301,0.06,Atender maior prioridade (78%),29,0,44.0,46,7,42.0,19,2,11.0
14,10014,Não selecionado,Falha,-51.800000000000004,100,Horizonte máximo,98,115,0.8521739130434782,0.02,Atender maior prioridade (85%),26,10,31.0,46,3,23.0,26,4,10.0
15,10015,Não selecionado,Sucesso,20.199999999999992,100,Horizonte máximo,90,91,0.989010989010989,0.1,Atender maior prioridade (87%),28,1,22.0,42,0,19.0,20,0,4.0
16,10016,Não selecionado,Falha,-176.29999999999995,100,Horizonte máximo,95,103,0.9223300970873787,0.05,Atender maior prioridade (75%),27,0,38.0,49,8,36.0,19,0,12.0
17,10017,Não selecionado,Falha,-20.399999999999988,100,Horizonte máximo,82,83,0.9879518072289156,0.18,Atender maior prioridade (89%),22,1,25.0,43,0,34.0,17,0,2.0
18,10018,Não selecionado,Falha,-134.4,100,Horizonte máximo,92,98,0.9387755102040817,0.08,Atender maior prioridade (86%),20,5,37.0,55,0,43.0,17,1,14.0
19,10019,Não selecionado,Falha,-105.60000000000002,100,Horizonte máximo,94,101,0.9306930693069307,0.06,Atender maior prioridade (80%),29,2,34.0,47,5,35.0,18,0,13.0
20,10020,Não selecionado,Falha,-239.20000000000002,100,Horizonte máximo,97,111,0.8738738738738738,0.03,Atender maior prioridade (79%),23,7,43.0,56,7,50.0,18,0,23.0
21,10021,Não selecionado,Falha,-144.8,100,Horizonte máximo,93,108,0.8611111111111112,0.07,Atender maior prioridade (84%),28,5,42.0,46,10,44.0,19,0,21.0
22,10022,Não selecionado,Falha,-49.40000000000002,100,Horizonte máximo,99,104,0.9519230769230769,0.01,Atender maior prioridade (75%),32,2,32.0,49,3,20.0,18,0,9.0
23,10023,Não selecionado,Falha,-193.70000000000002,100,Horizonte máximo,96,114,0.8421052631578947,0.04,Atender maior prioridade (78%),25,5,46.0,45,12,45.0,26,1,26.0
24,10024,Não selecionado,Sucesso,13.699999999999994,100,Horizonte máximo,86,90,0.9555555555555556,0.14,Atender maior prioridade (88%),25,3,28.0,47,1,14.0,14,0,4.0
25,10025,Não selecionado,Sucesso,58.80000000000001,100,Horizonte máximo,83,85,0.9764705882352941,0.17,Atender maior prioridade (98%),28,0,14.0,39,1,6.0,16,1,2.0
