config,algo,model_seed,reference_evaluation_seed,surprise_master_seed,reference_episodes,surprise_episodes,reference_mean_reward,surprise_mean_reward,reward_gap,reference_success_rate,surprise_success_rate,success_rate_gap,reference_service_rate,surprise_service_rate,service_rate_gap,model_label
A,ppo,42,42,556,100,100,-72.939,-70.87400000000001,2.0649999999999835,0.917790430526421,0.925320415783631,0.007529985257210048,0.917790430526421,0.925320415783631,0.007529985257210048,Config A / seed 42
A,ppo,123,123,556,100,100,-68.95700000000001,-68.786,0.17100000000000648,0.9184809623222985,0.925320415783631,0.006839453461332523,0.9184809623222985,0.925320415783631,0.006839453461332523,Config A / seed 123
A,ppo,256,256,556,100,100,-94.99400000000001,-83.042,11.952000000000012,0.9126407012650662,0.925320415783631,0.012679714518564755,0.9126407012650662,0.925320415783631,0.012679714518564755,Config A / seed 256
A,ppo,789,789,556,100,100,-69.244,-75.993,-6.748999999999995,0.9177791262135923,0.925320415783631,0.007541289570038745,0.9177791262135923,0.925320415783631,0.007541289570038745,Config A / seed 789
A,ppo,1024,1024,556,100,100,-87.21500000000002,-78.93,8.28500000000001,0.9211480362537764,0.9251185790695328,0.003970542815756373,0.9211480362537764,0.9251185790695328,0.003970542815756373,Config A / seed 1024
B,ppo,42,42,556,100,100,-131.15200000000002,-137.487,-6.3349999999999795,0.917790430526421,0.925320415783631,0.007529985257210048,0.917790430526421,0.925320415783631,0.007529985257210048,Config B / seed 42
B,ppo,123,123,556,100,100,-148.52200000000002,-138.421,10.101000000000028,0.9184809623222985,0.925320415783631,0.006839453461332523,0.9184809623222985,0.925320415783631,0.006839453461332523,Config B / seed 123
B,ppo,256,256,556,100,100,-144.61900000000003,-135.731,8.888000000000034,0.9126407012650662,0.925320415783631,0.012679714518564755,0.9126407012650662,0.925320415783631,0.012679714518564755,Config B / seed 256
B,ppo,789,789,556,100,100,-122.88900000000001,-138.421,-15.531999999999982,0.9177791262135923,0.925320415783631,0.007541289570038745,0.9177791262135923,0.925320415783631,0.007541289570038745,Config B / seed 789
B,ppo,1024,1024,556,100,100,-134.241,-138.421,-4.179999999999978,0.9222557905337362,0.925320415783631,0.0030646252498948146,0.9222557905337362,0.925320415783631,0.0030646252498948146,Config B / seed 1024
C,dqn,42,42,556,100,100,-105.27699999999999,-108.663,-3.38600000000001,0.917790430526421,0.9252194974265819,0.0074290669001609855,0.917790430526421,0.9252194974265819,0.0074290669001609855,Config C / seed 42
C,dqn,123,123,556,100,100,-130.826,-121.514,9.311999999999998,0.8904463664380157,0.8993843980220002,0.00893803158398454,0.8904463664380157,0.8993843980220002,0.00893803158398454,Config C / seed 123
C,dqn,256,256,556,100,100,-116.82800000000003,-107.219,9.609000000000037,0.9126407012650662,0.925320415783631,0.012679714518564755,0.9126407012650662,0.925320415783631,0.012679714518564755,Config C / seed 256
C,dqn,789,789,556,100,100,-87.40599999999999,-108.31300000000002,-20.907000000000025,0.9177791262135923,0.925320415783631,0.007541289570038745,0.9177791262135923,0.925320415783631,0.007541289570038745,Config C / seed 789
C,dqn,1024,1024,556,100,100,-122.928,-116.291,6.6370000000000005,0.9222557905337362,0.925320415783631,0.0030646252498948146,0.9222557905337362,0.925320415783631,0.0030646252498948146,Config C / seed 1024
