scenario,config,algo,reward_config,model_seed,evaluation_seed,episodes,mean_reward,std_reward,success_rate,mean_steps,mean_cost,service_rate
surprise,A,ppo,produtividade,42,999,100,-81.855,121.19274596691007,0.9197738992463308,100.0,164.63500000000005,0.9197738992463308
surprise,A,ppo,produtividade,123,999,100,-75.70400000000001,108.34071249534962,0.9197738992463308,100.0,159.28400000000002,0.9197738992463308
surprise,A,ppo,produtividade,256,999,100,-88.74899999999998,120.38083609528553,0.9197738992463308,100.0,170.69899999999998,0.9197738992463308
surprise,A,ppo,produtividade,789,999,100,-92.71300000000002,130.875525332279,0.9197738992463308,100.0,173.043,0.9197738992463308
surprise,A,ppo,produtividade,1024,999,100,-81.813,119.9523094025288,0.9191788972629908,100.0,157.103,0.9191788972629908
surprise,B,ppo,produtividade,42,999,100,-158.50100000000003,160.41670268086173,0.9197738992463308,100.0,251.25099999999998,0.9197738992463308
surprise,B,ppo,produtividade,123,999,100,-158.93800000000002,160.28769433740072,0.9197738992463308,100.0,251.62800000000004,0.9197738992463308
surprise,B,ppo,produtividade,256,999,100,-154.833,157.7827183534369,0.9197738992463308,100.0,247.583,0.9197738992463308
surprise,B,ppo,produtividade,789,999,100,-159.11400000000003,160.5764061249348,0.9197738992463308,100.0,251.864,0.9197738992463308
surprise,B,ppo,produtividade,1024,999,100,-159.11400000000003,160.5764061249348,0.9197738992463308,100.0,251.864,0.9197738992463308
surprise,C,dqn,produtividade,42,999,100,-122.79400000000001,150.45263229335671,0.9195755652518842,100.0,213.324,0.9195755652518842
surprise,C,dqn,produtividade,123,999,100,-138.696,170.13362978553064,0.8877429591431971,100.0,226.17600000000002,0.8877429591431971
surprise,C,dqn,produtividade,256,999,100,-119.15400000000001,156.53438626704354,0.9197738992463308,100.0,211.81399999999996,0.9197738992463308
surprise,C,dqn,produtividade,789,999,100,-119.33300000000003,152.7436120137271,0.9197738992463308,100.0,211.46300000000002,0.9197738992463308
surprise,C,dqn,produtividade,1024,999,100,-136.284,178.42089323843214,0.9197738992463308,100.0,229.03400000000002,0.9197738992463308
