baseline,seed,episodes,mean_reward,std_reward,min_reward,max_reward,success_rate,nonnegative_reward_rate,mean_steps,std_steps,mean_cost,std_cost,total_served,total_arrivals,mean_served_queue_0,mean_served_queue_1,mean_served_queue_2
aleatorio,42,100,-394.758,235.18800147116346,-1270.6,-26.499999999999996,0.8915193287383878,0.0,100.0,0.0,443.43800000000005,235.76296307096248,8925,10011,27.5,44.22,17.53
aleatorio,123,100,-414.2930000000001,244.12748278512194,-1028.2,-24.70000000000001,0.8880604433840342,0.0,100.0,0.0,462.6230000000001,244.71928728851756,8933,10059,26.77,44.58,17.98
aleatorio,256,100,-443.81,268.16715365607325,-1077.1,-12.000000000000004,0.8836537503735432,0.0,100.0,0.0,491.88,268.64862180923245,8871,10039,26.74,43.84,18.13
aleatorio,789,100,-409.655,260.75306148730067,-1255.9,-29.900000000000013,0.8897653721682848,0.0,100.0,0.0,457.685,260.6615293344992,8798,9888,26.89,43.47,17.62
aleatorio,1024,100,-432.13400000000007,261.49818937040465,-1156.4,-35.70000000000001,0.8926485397784492,0.0,100.0,0.0,479.954,262.6690405891033,8864,9930,26.81,43.33,18.5
prioridade_fixa,42,100,-132.06,147.9921579003428,-541.8,58.20000000000001,0.917790430526421,0.2,100.0,0.0,223.94,151.65170226542133,9188,10011,24.3,48.66,18.92
prioridade_fixa,123,100,-148.40600000000003,158.3035026902437,-504.5,59.700000000000024,0.9184809623222985,0.24,100.0,0.0,240.79599999999994,162.72092116258437,9239,10059,23.47,49.36,19.56
prioridade_fixa,256,100,-148.378,150.13877552451268,-447.6,60.10000000000004,0.9126407012650662,0.21,100.0,0.0,239.99800000000002,154.58064172463511,9162,10039,23.29,48.39,19.94
prioridade_fixa,789,100,-122.88900000000001,146.01311029835642,-455.40000000000003,57.50000000000002,0.9177791262135923,0.31,100.0,0.0,213.63899999999998,151.24672683731043,9075,9888,23.43,48.33,18.99
prioridade_fixa,1024,100,-134.241,150.78196383851753,-485.8,70.4,0.9222557905337362,0.22,100.0,0.0,225.82100000000003,155.54701751881967,9158,9930,23.78,47.77,20.03
fila_mais_longa,42,100,-378.074,345.4730535425303,-1188.8,47.300000000000004,0.917790430526421,0.09,100.0,0.0,469.954,348.85528243671473,9188,10011,28.52,46.99,16.37
fila_mais_longa,123,100,-456.1039999999999,413.20586344339307,-1327.2,52.60000000000004,0.9184809623222985,0.12,100.0,0.0,548.494,417.4029089069697,9239,10059,27.71,47.7,16.98
fila_mais_longa,256,100,-439.881,391.7026552616155,-1307.9,62.80000000000001,0.9126407012650662,0.1,100.0,0.0,531.501,395.97574837229615,9162,10039,27.73,46.62,17.27
fila_mais_longa,789,100,-376.9900000000001,375.58790489045305,-1299.4,60.00000000000003,0.9177791262135923,0.16,100.0,0.0,467.7400000000001,380.53607030083236,9075,9888,27.91,46.42,16.42
fila_mais_longa,1024,100,-430.48799999999994,408.811523634058,-1288.5,69.30000000000001,0.9222557905337362,0.1,100.0,0.0,522.068,413.4455264917012,9158,9930,27.86,46.03,17.69
